"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2021","59.32","55.53","60.25","55.26","20.17K","8.41%"
"08/15/2021","54.72","55.50","58.60","52.86","21.69K","-1.83%"
"08/08/2021","55.74","56.90","58.53","55.58","9.70K","-2.24%"
"08/01/2021","57.02","53.47","57.30","53.46","8.08K","6.20%"
"07/25/2021","53.69","51.10","54.69","50.96","8.29K","4.74%"
"07/18/2021","51.26","53.00","54.35","50.37","21.88K","-3.79%"
"07/11/2021","53.28","54.22","55.88","51.70","12.21K","-2.54%"
"07/04/2021","54.67","58.02","58.69","51.32","14.17K","-5.35%"
"06/27/2021","57.76","55.89","59.00","55.05","18.74K","4.11%"
"06/20/2021","55.48","52.16","56.16","51.99","28.36K","6.16%"
"06/13/2021","52.26","53.43","54.36","50.76","13.25K","-1.53%"
"06/06/2021","53.07","49.83","54.60","49.83","11.14K","5.15%"
"05/30/2021","50.47","52.38","53.70","49.80","12.06K","-2.15%"
"05/23/2021","51.58","52.20","55.23","50.78","16.28K","-1.62%"
"05/16/2021","52.43","57.02","57.37","49.30","39.43K","-8.39%"
"05/09/2021","57.23","51.50","57.48","51.50","24.94K","12.37%"
"05/02/2021","50.93","49.59","51.58","48.87","20.29K","3.29%"
"04/25/2021","49.31","47.39","49.83","46.84","20.90K","4.07%"
"04/18/2021","47.38","44.90","47.67","44.29","10.84K","5.76%"
"04/11/2021","44.80","44.23","45.18","43.86","12.07K","1.75%"
"04/04/2021","44.03","43.20","44.72","43.13","6.55K","2.85%"
"03/28/2021","42.81","41.84","43.16","41.19","6.83K","1.71%"
"03/21/2021","42.09","42.10","43.35","40.00","13.09K","-0.52%"
"03/14/2021","42.31","42.44","44.07","41.60","37.41K","-2.04%"
"03/07/2021","43.19","39.76","43.22","38.67","24.72K","9.73%"
"02/28/2021","39.36","38.16","39.45","37.03","12.52K","4.68%"
"02/21/2021","37.60","37.73","39.83","36.80","9.20K","-0.27%"
"02/14/2021","37.70","40.18","40.88","37.68","19.69K","-6.41%"
"02/07/2021","40.28","39.39","40.50","37.40","27.72K","4.81%"
"01/31/2021","38.43","33.19","38.90","32.85","6.70K","15.82%"
"01/24/2021","33.18","34.77","34.84","32.48","6.04K","-3.69%"
"01/17/2021","34.45","31.83","34.45","31.56","5.28K","7.79%"
"01/10/2021","31.96","35.29","35.59","31.89","7.78K","-9.05%"
